"hhid","province","raised_Poultry","raised_cattle_buffalo","raised_Livestock","raised_Livestock_Poultry","ag_hh_homelot","ag_area_homelot","ag_hh_parcel","ag_area_parcel","ag_hh","ag_area","zone","fhh","edu_hh","edu_hh_head","covid_shock","ag_comm","ag_assoc","ag_comm_assoc","animal_area","animal_ded_area","homelot_area","parcel_area","holding_area","animal_area_rate","rice","rice_harv_sold_pct","sold_rice","rice_area_agland_pct","rice_area_total_pct","rice_price_impt","value_rice_prod","rice_price","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","qty_cashew_gift","qty_cashew_pay","qty_cashew_feed","qty_cashew_seed","qty_cashew_lost","qty_cashew_processed","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price","animal_disease","irrigation","drought","flood","ag_extension_training","family_hours","family_full_days","family_work_days"
"HID103057",14,1,0,0,1,1,0.1184,1,0.8,1,0.91839999,"Plain",0,2,1,0,0,0,0,NA,0,0.1184,0.800000011920929,0.91839999,NA,1,0,0,0.87108016,0.87108016,1,2550000,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,395,49.375,275
"HID103063",7,NA,NA,NA,NA,1,0.49,0,0,1,0.49000001,"Coastal",0,1,1,0,0,0,0,0.0006000000284985,1,0.49,0.5,0.99000001,0.00060606061,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,20,2.5,10
"HID103066",5,1,0,0,1,1,0.12,1,0.3,1,0.41999999,"Mountain",1,1,1,0,0,0,0,0.0010000000474975,1,0.12,0.300000004470348,0.42000002,0.0023809525,1,0,0,0.71428579,0.71428573,1,6e+05,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,576,72,144
"HID103069",2,NA,NA,NA,NA,1,0.12,0,0,1,0.12,"Tonle Sap",1,1,0,0,0,0,0,NA,0,0.12,NA,0.12,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,1,0,0,3360,420,660
"HID103130",14,NA,NA,NA,NA,1,0.04,1,2,1,2.04,"Plain",0,2,2,0,0,0,0,NA,0,0.04,2,2.04,NA,1,0.5,1,0.98039216,0.98039216,0,4e+06,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,980,122.5,215
"HID103140",18,1,0,0,1,1,0.108,0,0,1,0.108,"Coastal",0,2,NA,0,0,0,0,0.0719999969005585,1,0.108,NA,0.108,0.66666663,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,900,112.5,600
"HID103196",13,1,0,0,1,1,0.17,1,7,1,7.1700001,"Mountain",0,1,0,0,0,0,0,0.0500000007450581,1,0.2,7,7.1999998,0.006944445,1,0.66666669,1,0.55788004,0.55555558,0,5100000,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,1280,160,200
"HID103225",21,1,1,1,1,1,0.03,1,0.999999994039536,1,1.03,"Plain",0,1,1,0,0,0,0,0.0020000000949949,1,0.03,1.00000000745058,1.03,0.0019417477,1,0.47619048,1,0.97087383,0.97087383,0,5355000,850,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,1,0,0,0,960,120,240
"HID103340",1,0,1,1,1,0,0,1,3.15999999642372,1,3.1600001,"Tonle Sap",0,2,0,0,0,0,0,NA,0,0.12,3.15999999642372,3.28,NA,1,0.66666669,1,0.94936705,0.91463417,0,2745000,915,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,1,0,1440,180,180
"HID103410",11,1,0,0,1,0,0,1,2,1,2,"Mountain",1,1,0,0,0,0,0,NA,0,0.03,2,2.03,NA,0,NA,NA,NA,NA,0,NA,NA,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.98522168,0,NA,NA,0,0,0,0,0,2688,336,336
