"hhid","province","zone","rice","area_rice_harvested","area_rice_planted","qty_rice_harvested","qty_rice_own_use","qty_rice_sale","value_rice_prod","cashew","area_cashew_harvested","area_cashew_planted","qty_cashew_harvested","qty_cashew_own_use","qty_cashew_sale","cashew_harv_sold_pct","sold_cashew","cashew_area_agland_pct","cashew_area_total_pct","cashew_price_impt","value_cashew_prod","cashew_price"
"HID761770",3,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761854",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761879",18,"Coastal",1,0.4,0.4,2400,500,700,1920000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID761952",20,"Plain",1,1,1,3000,0,0,2700000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762083",17,"Tonle Sap",1,1,1,3000,0,0,2850000,1,NA,NA,4,0,2,0.5,1,NA,NA,0,16000,4000
"HID762110",5,"Mountain",1,2,2,4800,1100,1300,5280000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762116",8,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762316",25,"Plain",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762328",21,"Plain",1,0.3,0.3,1400,0,0,1302000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762336",14,"Plain",1,0.9,0.9,16000,1000,7000,12800000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762359",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762360",14,"Plain",1,1,1,8000,1000,3000,7600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762389",8,"Plain",1,0.8,0.8,4000,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762476",20,"Plain",1,0.25,0.25,700,0,0,630000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762520",12,"Phnom Penh",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762548",5,"Mountain",1,0.25,0.25,600,0,0,660000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762559",14,"Plain",1,0.5,0.5,3000,0,0,2790000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762621",4,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762660",2,"Tonle Sap",1,14,14,64000,3000,29000,46080000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762675",14,"Plain",1,0.7,0.7,7000,1200,2300,4900000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762706",17,"Tonle Sap",0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762718",7,"Coastal",1,0.4,0.5,1500,0,0,1530000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"HID762739",18,"Coastal",0,NA,NA,NA,NA,NA,NA,1,0.005,0.005,40,0,0,0,0,0.0083333338,0.0081168832,1,120000,3000
"HID762803",2,"Tonle Sap",1,1,1,4000,0,0,3600000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
